Carimbo de data/hora,Você é sócio ou gestor de empresa? ,Há quanto tempo a empresa está no mercado? ,"Nos primeiros 5 anos de empresa, teve dificuldades financeiras? ",É importante que todos os sócios tenham ciência de todas as informações relacionadas ao negócio. ,A divulgação de informações na empresa deve ocorre de forma ampla e clara ,Deve existir um protocolo para transmitir informações ,As funções de cada membro da equipe devem ser bem esclarecidas. ,A institução deve tratar de forma equivalente e respeitosa todos os colaboradores e gestores. ,A empresa deve agir de forma justa e conforme as regras. ,É importante que a empresa incentive seus colaboradores a praticarem um comportamento justo e conforme as regras. ,Um tratamento equivalente para todos os colaboradores não interfere na hierarquia. ,A prestação de contas das lideranças para os gestores deve correr no momento oportuno. ,No momento da prestação de contas deve-se utilizar um linguajar claro para que todos possam compreender. ,É necesário um padrão para realizar a prestação de contas. ,Informar além do exigido por lei é uma forma da empresa ser bem vista pelo mercado. ,A empresa deve ter ações relacionadas à sociedade e ambiente em que está atuando. ,É necessário um planejamento para tomar decisões / discutir sobre situaações importantes. ,Deve-se investir na qualificação da equipe para atender as demandas e evolução do mercado / sociedade. ,Todas as ações e investimentos da instituição devem ser discutidas de forma que o interesse dos sócios não sobreponha a longevidade da empresa. 
2023/08/25 9:10:31 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:12:09 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,4 - Discordo,4 - Discordo,3 - Neutro,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:13:24 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo
2023/08/25 9:14:42 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,4 - Discordo,3 - Neutro,2 - Concordo,2 - Concordo,2 - Concordo,3 - Neutro,2 - Concordo,2 - Concordo,2 - Concordo
2023/08/25 9:16:02 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,4 - Discordo,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,4 - Discordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:17:53 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:18:58 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:20:04 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:21:19 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:22:33 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:23:37 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:25:25 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:26:17 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:27:23 PM GMT-3,Sim,Mais de 5 anos,,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,3 - Neutro,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:28:31 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,4 - Discordo,3 - Neutro,1- Concordo totalmente,4 - Discordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:29:54 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:31:14 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,2 - Concordo,3 - Neutro,3 - Neutro,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro
2023/08/25 9:32:52 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,3 - Neutro,2 - Concordo,1 - Concordo totalmente,2 - Concordo,2 - Concordo,3 - Neutro
2023/08/25 9:33:53 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,4 - Discordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:34:52 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:35:52 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:36:49 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,2 - Concordo,2 - Concordo,3 - Neutro,4 - Discordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:37:43 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:38:34 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:39:27 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,5 - Discordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:40:15 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:41:29 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,2 - Concordo,4 - Discordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,3 - Neutro,3 - Neutro,2 - Concordo,3 - Neutro,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente
2023/08/25 9:42:29 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente
2023/08/25 9:43:40 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,2 - Concordo,2 - Concordo,1 - Concordo totalmente,2 - Concordo,3 - Neutro,2 - Concordo,2 - Concordo,1 - Concordo totalmente
2023/08/25 9:44:55 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,3 - Neutro,2 - Concordo,1- Concordo totalmente,2 - Concordo,4 - Discordo,3 - Neutro,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente
2023/08/25 9:46:06 PM GMT-3,Sim,Mais de 5 anos,Não,2 - Concordo,2 - Concordo,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,3 - Neutro,3 - Neutro,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:47:51 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:48:40 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:49:26 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:51:18 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,3 - Neutro,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:52:23 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1- Concordo totalmente,2 - Concordo,2 - Concordo,3 - Neutro,2 - Concordo,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:53:25 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,2 - Concordo
2023/08/25 9:54:34 PM GMT-3,Sim,Mais de 5 anos,Sim,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,3 - Neutro,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo
2023/08/25 9:56:04 PM GMT-3,Sim,Mais de 5 anos,Sim,2 - Concordo,2 - Concordo,4 - Discordo,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo,2 - Concordo
2023/08/25 9:57:07 PM GMT-3,Sim,Mais de 5 anos,Não,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,2 - Concordo,1 - Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1- Concordo totalmente,1 - Concordo totalmente,2 - Concordo,2 - Concordo,1 - Concordo totalmente,2 - Concordo,2 - Concordo
